customer_id,tenure_months,num_vehicles,avg_card_swipes_per_vehicle,monthly_txn_count,monthly_spend,contract_type,region,fuel_program_tier,maintenance_plan,telematics_enabled,industry_naics,late_payment_rate,support_tickets_last_90d,downtime_hours_last_30d,churn
C300000,10,24,34.55,952,102211.22,One Year,West,Standard,Full,0,Manufacturing,0.088,1,5.73,0
C300001,10,22,37.71,767,60018.83,One Year,Midwest,Basic,None,1,Logistics,0.05,2,3.8,0
C300002,57,17,31.77,624,37561.11,One Year,West,Basic,Basic,1,Retail,0.278,2,2.94,1
C300003,36,11,22.07,262,26856.55,Month-to-Month,Northeast,Premium,Full,0,Retail,0.068,3,6.28,0
C300004,42,21,50.53,855,40336.65,Two Year,West,Basic,Full,1,Manufacturing,0.289,5,1.82,0
C300005,43,17,37.05,720,62919.24,One Year,West,Standard,Basic,1,Construction,0.123,2,0.69,0
C300006,51,23,45.32,1034,54059.36,Month-to-Month,Midwest,Standard,None,0,Services,0.141,2,3.76,1
C300007,3,14,60.54,972,88069.65,Month-to-Month,Northeast,Premium,None,0,Logistics,0.279,2,5.73,0
C300008,35,14,28.93,406,24658.99,Month-to-Month,Midwest,Premium,None,0,Logistics,0.099,3,10.88,1
C300009,11,12,52.04,613,57182.02,One Year,West,Basic,Basic,0,Construction,0.222,2,3.43,1
C300010,29,20,30.17,562,30834.43,Month-to-Month,South,Standard,Full,1,Construction,0.238,1,0.75,1
C300011,66,22,39.09,711,62336.07,Month-to-Month,Midwest,Basic,None,0,Manufacturing,0.12,2,5.01,1
C300012,39,9,35.33,332,17678.96,Two Year,West,Standard,Basic,0,Manufacturing,0.153,2,7.17,0
C300013,5,16,44.9,675,49944.95,Month-to-Month,West,Standard,None,0,Logistics,0.31,3,3.95,0
C300014,39,10,31.64,298,27972.26,One Year,Midwest,Premium,Basic,1,Services,0.129,1,3.16,0
C300015,10,17,48.07,729,50336.28,Month-to-Month,South,Basic,Basic,0,Manufacturing,0.131,2,0.26,1
C300016,54,20,33.73,686,40300.14,Month-to-Month,Northeast,Standard,Basic,0,Logistics,0.164,1,7.43,0
C300017,68,19,44.41,687,36202.7,Month-to-Month,West,Basic,Basic,0,Services,0.217,4,1.22,0
C300018,70,21,44.61,815,54124.52,Two Year,South,Basic,Basic,0,Services,0.171,2,2.9,0
C300019,45,27,44.09,1191,40613.58,One Year,West,Basic,Basic,0,Manufacturing,0.106,3,3.19,0
C300020,62,14,60.75,743,55321.4,One Year,West,Basic,None,0,Services,0.06,3,5.31,0
C300021,27,13,46.97,615,51038.56,One Year,West,Standard,None,0,Construction,0.105,1,10.96,0
